description,category
"A recently demoted manager was found to have exported the entire customer list after a negative review, according to A routine compliance audit.",insider_threat
"An internal investigation traced unusual activity to a disgruntled staff member, who had accessed systems weeks after their last working day.",insider_threat
It was discovered that a disgruntled staff member emailed proprietary design documents to a personal account without authorization.,insider_threat
"A former employee was found to have downloaded source code repositories shortly before resigning, according to Audit logs.",insider_threat
"Why did a contractor uploaded sensitive files to a personal cloud storage account, is that normal?",insider_threat
An investigation confirmed a departing employee had copied confidential client data to a personal drive.,insider_threat
Ticket: An internal investigation shows a departing employee uploaded sensitive files to a personal cloud storage account.,insider_threat
"A system administrator was found to have downloaded source code repositories shortly before resigning, according to Security monitoring.",insider_threat
Security monitoring flagged a contractor after they uploaded sensitive files to a personal cloud storage account.,insider_threat
"Why did a departing employee emailed proprietary design documents to a personal account, is that normal?",insider_threat
Ticket: Data loss prevention tooling shows a disgruntled staff member copied confidential client data to a personal drive.,insider_threat
Investigators found that stolen credentials enabled the attacker to carry out reconnaissance scanning across the internal subnet.,network_intrusion
Can you check why an exposed administrative interface led to lateral movement between internal network segments?,network_intrusion
An intrusion began with an unpatched remote access appliance and progressed to unauthorized administrative logins from an unfamiliar location.,network_intrusion
Can you check why a phishing foothold on a workstation led to repeated connection attempts from a foreign network range?,network_intrusion
Can you check why a phishing foothold on a workstation led to a pivot to the internal domain controller?,network_intrusion
Firewall logs detected unauthorized administrative logins from an unfamiliar location that was traced back to stolen credentials.,network_intrusion
Ticket: The SOC team shows access to multiple internal systems using stolen credentials after a misconfigured firewall rule.,network_intrusion
Ticket: Intrusion detection systems shows reconnaissance scanning across the internal subnet after an unpatched remote access appliance.,network_intrusion
"Seeing data exfiltration to an unfamiliar external host, looks like it started with a misconfigured firewall rule.",network_intrusion
Network traffic analysis flagged data exfiltration to an unfamiliar external host after a phishing foothold on a workstation was exploited.,network_intrusion
Network traffic analysis flagged reconnaissance scanning across the internal subnet after stolen credentials was exploited.,network_intrusion
"Seeing a pivot to the internal domain controller, looks like it started with a known vulnerability in the file server.",network_intrusion
Security monitoring flagged access to multiple internal systems using stolen credentials after stolen credentials was exploited.,network_intrusion
Investigators found that stolen credentials enabled the attacker to carry out a pivot to the internal domain controller.,network_intrusion
Firewall logs detected reconnaissance scanning across the internal subnet that was traced back to stolen credentials.,network_intrusion
An intrusion began with an exposed administrative interface and progressed to lateral movement between internal network segments.,network_intrusion
Ticket: Network traffic analysis shows unauthorized administrative logins from an unfamiliar location after stolen credentials.,network_intrusion
"An attacker exploited a phishing foothold on a workstation to gain a foothold, followed by unauthorized administrative logins from an unfamiliar location.",network_intrusion
Investigators found that an exposed administrative interface enabled the attacker to carry out data exfiltration to an unfamiliar external host.,network_intrusion
"An attacker exploited a misconfigured firewall rule to gain a foothold, followed by reconnaissance scanning across the internal subnet.",network_intrusion
Investigators found that a brute force attack against remote desktop enabled the attacker to carry out lateral movement between internal network segments.,network_intrusion
"An attacker exploited an unpatched remote access appliance to gain a foothold, followed by access to multiple internal systems using stolen credentials.",network_intrusion
"Seeing access to multiple internal systems using stolen credentials, looks like it started with a phishing foothold on a workstation.",network_intrusion
Why is there unauthorized administrative logins from an unfamiliar location coming from a known vulnerability in the file server?,network_intrusion
"A compromised edge router allowed an attacker to enter the network, leading to lateral movement between internal network segments.",network_intrusion
"A known vulnerability in the file server allowed an attacker to enter the network, leading to reconnaissance scanning across the internal subnet.",network_intrusion
Can you check why stolen credentials led to unauthorized administrative logins from an unfamiliar location?,network_intrusion
Why is there unauthorized administrative logins from an unfamiliar location coming from a compromised edge router?,network_intrusion
"Seeing a pivot to the internal domain controller, looks like it started with an exposed administrative interface.",network_intrusion
Why is there unauthorized administrative logins from an unfamiliar location coming from a brute force attack against remote desktop?,network_intrusion
Firewall logs flagged reconnaissance scanning across the internal subnet after a compromised edge router was exploited.,network_intrusion
Investigators found that a phishing foothold on a workstation enabled the attacker to carry out unauthorized administrative logins from an unfamiliar location.,network_intrusion
Intrusion detection systems flagged access to multiple internal systems using stolen credentials after a compromised edge router was exploited.,network_intrusion
"Seeing data exfiltration to an unfamiliar external host, looks like it started with a known vulnerability in the file server.",network_intrusion
An intrusion began with an exposed administrative interface and progressed to unauthorized administrative logins from an unfamiliar location.,network_intrusion
Ticket: Intrusion detection systems shows unauthorized administrative logins from an unfamiliar location after a brute force attack against remote desktop.,network_intrusion
Firewall logs detected unauthorized administrative logins from an unfamiliar location that was traced back to a phishing foothold on a workstation.,network_intrusion
"Stolen credentials allowed an attacker to enter the network, leading to data exfiltration to an unfamiliar external host.",network_intrusion
Why is there a pivot to the internal domain controller coming from a brute force attack against remote desktop?,network_intrusion
Why is there data exfiltration to an unfamiliar external host coming from a brute force attack against remote desktop?,network_intrusion
An internal audit flagged access to multiple internal systems using stolen credentials after stolen credentials was exploited.,network_intrusion
Can you check why a compromised edge router led to access to multiple internal systems using stolen credentials?,network_intrusion
"A misconfigured firewall rule allowed an attacker to enter the network, leading to access to multiple internal systems using stolen credentials.",network_intrusion
"A phishing foothold on a workstation allowed an attacker to enter the network, leading to lateral movement between internal network segments.",network_intrusion
Network traffic analysis detected repeated connection attempts from a foreign network range that was traced back to a phishing foothold on a workstation.,network_intrusion
"Seeing unauthorized administrative logins from an unfamiliar location, looks like it started with stolen credentials.",network_intrusion
"A brute force attack against remote desktop allowed an attacker to enter the network, leading to unauthorized administrative logins from an unfamiliar location.",network_intrusion
"Seeing repeated connection attempts from a foreign network range, looks like it started with a known vulnerability in the file server.",network_intrusion
Firewall logs detected access to multiple internal systems using stolen credentials that was traced back to a known vulnerability in the file server.,network_intrusion
Why is there reconnaissance scanning across the internal subnet coming from a misconfigured firewall rule?,network_intrusion
"Stolen credentials allowed an attacker to enter the network, leading to reconnaissance scanning across the internal subnet.",network_intrusion
Ticket: Firewall logs shows access to multiple internal systems using stolen credentials after a misconfigured firewall rule.,network_intrusion
"An attacker exploited a brute force attack against remote desktop to gain a foothold, followed by a pivot to the internal domain controller.",network_intrusion
Security monitoring detected data exfiltration to an unfamiliar external host that was traced back to stolen credentials.,network_intrusion
An intrusion began with a brute force attack against remote desktop and progressed to lateral movement between internal network segments.,network_intrusion
"A brute force attack against remote desktop allowed an attacker to enter the network, leading to a pivot to the internal domain controller.",network_intrusion
Ticket: An internal audit shows access to multiple internal systems using stolen credentials after a compromised edge router.,network_intrusion
"Seeing a pivot to the internal domain controller, looks like it started with an unpatched remote access appliance.",network_intrusion
Ticket: An internal audit shows a pivot to the internal domain controller after a known vulnerability in the file server.,network_intrusion
"Seeing lateral movement between internal network segments, looks like it started with a misconfigured firewall rule.",network_intrusion
Network traffic analysis flagged a pivot to the internal domain controller after a phishing foothold on a workstation was exploited.,network_intrusion
Ticket: Network traffic analysis shows data exfiltration to an unfamiliar external host after a compromised edge router.,network_intrusion
An internal audit flagged repeated connection attempts from a foreign network range after a misconfigured firewall rule was exploited.,network_intrusion
Intrusion detection systems flagged a pivot to the internal domain controller after a known vulnerability in the file server was exploited.,network_intrusion
An intrusion began with a misconfigured firewall rule and progressed to lateral movement between internal network segments.,network_intrusion
Firewall logs detected data exfiltration to an unfamiliar external host that was traced back to an unpatched remote access appliance.,network_intrusion
"An attacker exploited a brute force attack against remote desktop to gain a foothold, followed by repeated connection attempts from a foreign network range.",network_intrusion
The SOC team flagged lateral movement between internal network segments after an unpatched remote access appliance was exploited.,network_intrusion
Intrusion detection systems detected reconnaissance scanning across the internal subnet that was traced back to an exposed administrative interface.,network_intrusion
An intrusion began with an exposed administrative interface and progressed to access to multiple internal systems using stolen credentials.,network_intrusion
Why is there access to multiple internal systems using stolen credentials coming from a misconfigured firewall rule?,network_intrusion
Ticket: Firewall logs shows repeated connection attempts from a foreign network range after an unpatched remote access appliance.,network_intrusion
An internal audit detected reconnaissance scanning across the internal subnet that was traced back to a phishing foothold on a workstation.,network_intrusion
Why is there access to multiple internal systems using stolen credentials coming from a compromised edge router?,network_intrusion
An intrusion began with a phishing foothold on a workstation and progressed to repeated connection attempts from a foreign network range.,network_intrusion
"Seeing access to multiple internal systems using stolen credentials, looks like it started with a misconfigured firewall rule.",network_intrusion
Why is there data exfiltration to an unfamiliar external host coming from a phishing foothold on a workstation?,network_intrusion
Ticket: Intrusion detection systems shows repeated connection attempts from a foreign network range after a brute force attack against remote desktop.,network_intrusion
Why is there lateral movement between internal network segments coming from stolen credentials?,network_intrusion
Network traffic analysis flagged access to multiple internal systems using stolen credentials after stolen credentials was exploited.,network_intrusion
"Seeing access to multiple internal systems using stolen credentials, looks like it started with a compromised edge router.",network_intrusion
"A compromised edge router allowed an attacker to enter the network, leading to unauthorized administrative logins from an unfamiliar location.",network_intrusion
Why is there reconnaissance scanning across the internal subnet coming from a compromised edge router?,network_intrusion
Investigators found that an unpatched remote access appliance enabled the attacker to carry out a pivot to the internal domain controller.,network_intrusion
An intrusion began with a brute force attack against remote desktop and progressed to unauthorized administrative logins from an unfamiliar location.,network_intrusion
Can you check why an unpatched remote access appliance led to data exfiltration to an unfamiliar external host?,network_intrusion
"Seeing data exfiltration to an unfamiliar external host, looks like it started with a brute force attack against remote desktop.",network_intrusion
Can you check why a phishing foothold on a workstation led to access to multiple internal systems using stolen credentials?,network_intrusion
An internal audit detected unauthorized administrative logins from an unfamiliar location that was traced back to a compromised edge router.,network_intrusion
"An attacker exploited a phishing foothold on a workstation to gain a foothold, followed by lateral movement between internal network segments.",network_intrusion
Investigators found that a known vulnerability in the file server enabled the attacker to carry out access to multiple internal systems using stolen credentials.,network_intrusion
"An attacker exploited a brute force attack against remote desktop to gain a foothold, followed by lateral movement between internal network segments.",network_intrusion
Ticket: An internal audit shows lateral movement between internal network segments after an exposed administrative interface.,network_intrusion
Why is there a pivot to the internal domain controller coming from a misconfigured firewall rule?,network_intrusion
The SOC team detected a pivot to the internal domain controller that was traced back to a known vulnerability in the file server.,network_intrusion
Ticket: Security monitoring shows repeated connection attempts from a foreign network range after a compromised edge router.,network_intrusion
Can you check why an exposed administrative interface led to a pivot to the internal domain controller?,network_intrusion
"Stolen credentials allowed an attacker to enter the network, leading to access to multiple internal systems using stolen credentials.",network_intrusion
"An attacker exploited a phishing foothold on a workstation to gain a foothold, followed by access to multiple internal systems using stolen credentials.",network_intrusion
Why is there unauthorized administrative logins from an unfamiliar location coming from an exposed administrative interface?,network_intrusion
Investigators found that a compromised edge router enabled the attacker to carry out access to multiple internal systems using stolen credentials.,network_intrusion
Intrusion detection systems flagged a pivot to the internal domain controller after a compromised edge router was exploited.,network_intrusion
Investigators found that a compromised edge router enabled the attacker to carry out data exfiltration to an unfamiliar external host.,network_intrusion
An intrusion began with a known vulnerability in the file server and progressed to lateral movement between internal network segments.,network_intrusion
Ticket: Intrusion detection systems shows lateral movement between internal network segments after a misconfigured firewall rule.,network_intrusion
An intrusion began with an unpatched remote access appliance and progressed to reconnaissance scanning across the internal subnet.,network_intrusion
Ticket: Intrusion detection systems shows lateral movement between internal network segments after a brute force attack against remote desktop.,network_intrusion
An intrusion began with a known vulnerability in the file server and progressed to reconnaissance scanning across the internal subnet.,network_intrusion
Ticket: Network traffic analysis shows lateral movement between internal network segments after a known vulnerability in the file server.,network_intrusion
Investigators found that a misconfigured firewall rule enabled the attacker to carry out data exfiltration to an unfamiliar external host.,network_intrusion
"Seeing unauthorized administrative logins from an unfamiliar location, looks like it started with a known vulnerability in the file server.",network_intrusion
Can you check why an unpatched remote access appliance led to access to multiple internal systems using stolen credentials?,network_intrusion
Intrusion detection systems flagged a pivot to the internal domain controller after a misconfigured firewall rule was exploited.,network_intrusion
Investigators found that a misconfigured firewall rule enabled the attacker to carry out lateral movement between internal network segments.,network_intrusion
"An exposed administrative interface allowed an attacker to enter the network, leading to lateral movement between internal network segments.",network_intrusion
"An attacker exploited a compromised edge router to gain a foothold, followed by reconnaissance scanning across the internal subnet.",network_intrusion
"Seeing unauthorized administrative logins from an unfamiliar location, looks like it started with an exposed administrative interface.",network_intrusion
Intrusion detection systems flagged repeated connection attempts from a foreign network range after a phishing foothold on a workstation was exploited.,network_intrusion
Firewall logs detected a pivot to the internal domain controller that was traced back to a misconfigured firewall rule.,network_intrusion
Ticket: Firewall logs shows a pivot to the internal domain controller after a brute force attack against remote desktop.,network_intrusion
An intrusion began with a phishing foothold on a workstation and progressed to reconnaissance scanning across the internal subnet.,network_intrusion
The SOC team flagged a pivot to the internal domain controller after a phishing foothold on a workstation was exploited.,network_intrusion
"An attacker exploited stolen credentials to gain a foothold, followed by reconnaissance scanning across the internal subnet.",network_intrusion
An intrusion began with a known vulnerability in the file server and progressed to access to multiple internal systems using stolen credentials.,network_intrusion
An internal audit detected data exfiltration to an unfamiliar external host that was traced back to a known vulnerability in the file server.,network_intrusion
Ticket: An internal audit shows lateral movement between internal network segments after a known vulnerability in the file server.,network_intrusion
An intrusion began with an exposed administrative interface and progressed to repeated connection attempts from a foreign network range.,network_intrusion
Ticket: The SOC team shows lateral movement between internal network segments after stolen credentials.,network_intrusion
"An attacker exploited a compromised edge router to gain a foothold, followed by lateral movement between internal network segments.",network_intrusion
Can you check why a compromised edge router led to a pivot to the internal domain controller?,network_intrusion
Why is there reconnaissance scanning across the internal subnet coming from a brute force attack against remote desktop?,network_intrusion
An internal audit detected unauthorized administrative logins from an unfamiliar location that was traced back to a phishing foothold on a workstation.,network_intrusion
Can you check why a known vulnerability in the file server led to unauthorized administrative logins from an unfamiliar location?,network_intrusion
Ticket: An internal audit shows data exfiltration to an unfamiliar external host after a known vulnerability in the file server.,network_intrusion
Can you check why a compromised edge router led to lateral movement between internal network segments?,network_intrusion
"Seeing data exfiltration to an unfamiliar external host, looks like it started with an unpatched remote access appliance.",network_intrusion
Investigators found that a known vulnerability in the file server enabled the attacker to carry out a pivot to the internal domain controller.,network_intrusion
An intrusion began with a phishing foothold on a workstation and progressed to lateral movement between internal network segments.,network_intrusion
Firewall logs flagged reconnaissance scanning across the internal subnet after a known vulnerability in the file server was exploited.,network_intrusion
An intrusion began with a brute force attack against remote desktop and progressed to repeated connection attempts from a foreign network range.,network_intrusion
An internal audit flagged reconnaissance scanning across the internal subnet after a misconfigured firewall rule was exploited.,network_intrusion
Investigators found that a compromised edge router enabled the attacker to carry out lateral movement between internal network segments.,network_intrusion
Firewall logs flagged data exfiltration to an unfamiliar external host after an exposed administrative interface was exploited.,network_intrusion
"An unpatched remote access appliance allowed an attacker to enter the network, leading to unauthorized administrative logins from an unfamiliar location.",network_intrusion
An internal audit detected lateral movement between internal network segments that was traced back to a known vulnerability in the file server.,network_intrusion
Investigators found that an exposed administrative interface enabled the attacker to carry out access to multiple internal systems using stolen credentials.,network_intrusion
"An unpatched remote access appliance allowed an attacker to enter the network, leading to data exfiltration to an unfamiliar external host.",network_intrusion
Investigators found that an unpatched remote access appliance enabled the attacker to carry out access to multiple internal systems using stolen credentials.,network_intrusion
Security monitoring detected a pivot to the internal domain controller that was traced back to stolen credentials.,network_intrusion
"A phishing foothold on a workstation allowed an attacker to enter the network, leading to a pivot to the internal domain controller.",network_intrusion
